Execucao,AVL_5000_Busca
1,600
2,300
3,200
4,200
5,300
6,200
7,300
8,300
9,300
10,300
11,300
12,300
13,300
14,300
15,300
16,300
17,400
18,300
19,300
20,300
21,300
22,300
23,300
24,300
25,300
26,300
27,300
28,300
29,300
30,300
