Execucao,AVL_100_Busca
1,1500
2,400
3,400
4,500
5,500
6,500
7,500
8,500
9,5700
10,6200
11,500
12,400
13,400
14,300
15,300
16,400
17,400
18,400
19,400
20,400
21,400
22,400
23,400
24,500
25,400
26,400
27,400
28,300
29,400
30,500
